name,description
Aguav Berry,Restores 1/8 max HP at 1/2 max HP or less; confuses if -SpD Nature. Single use.
Apicot Berry,Raises holder's Sp. Def by 1 stage when at 1/4 max HP or less. Single use.
Aspear Berry,Holder is cured if it is frozen. Single use.
Belue Berry,Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Berry Juice,Restores 20 HP when at 1/2 max HP or less. Single use.
Black Belt,Holder's Fighting-type attacks have 1.1x power.
Black Glasses,Holder's Dark-type attacks have 1.1x power.
Bluk Berry,Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Bright Powder,The accuracy of attacks against the holder is 0.9x.
Charcoal,Holder's Fire-type attacks have 1.1x power.
Cheri Berry,Holder cures itself if it is paralyzed. Single use.
Chesto Berry,Holder wakes up if it is asleep. Single use.
Choice Band,"Holder's Attack is 1.5x, but it can only select the first move it executes."
Claw Fossil,Can be revived into Anorith.
Cornn Berry,Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Deep Sea Scale,"If held by a Clamperl, its Sp. Def is doubled."
Deep Sea Tooth,"If held by a Clamperl, its Sp. Atk is doubled."
Dive Ball,A Poke Ball that works especially well on Pokemon that live underwater.
Dome Fossil,Can be revived into Kabuto.
Dragon Fang,Holder's Dragon-type attacks have 1.1x power.
Dragon Scale,Evolves Seadra into Kingdra when traded.
Durin Berry,Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Enigma Berry,No competitive use.
Fast Ball,A Poke Ball that makes it easier to catch Pokemon which are quick to run away.
Figy Berry,Restores 1/8 max HP at 1/2 max HP or less; confuses if -Atk Nature. Single use.
Fire Stone,Evolves certain species of Pokemon when used.
Focus Band,Holder has a 10% chance to survive an attack that would KO it with 1 HP.
Friend Ball,A Poke Ball that makes caught Pokemon more friendly.
Ganlon Berry,Raises holder's Defense by 1 stage when at 1/4 max HP or less. Single use.
Great Ball,A high-performance Ball that provides a higher catch rate than a Poke Ball.
Grepa Berry,Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Hard Stone,Holder's Rock-type attacks have 1.1x power.
Heavy Ball,A Poke Ball for catching very heavy Pokemon.
Helix Fossil,Can be revived into Omanyte.
Hondew Berry,Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Iapapa Berry,Restores 1/8 max HP at 1/2 max HP or less; confuses if -Def Nature. Single use.
